2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,3,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,3,4
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,1,1,1,1,3,4,2,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,3,2
NA,NA,NA,NA,NA,3,4,5,2,2,3,4,6
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,3,2,2,2,3,4
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,3,2,2,3,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,3,4,3,4,6,2
NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,1,1,1,1,3,4,6,2,2
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,3,4
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,2
NA,NA,NA,NA,NA,NA,3,4,2,2,2,2,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,3,4,5,7
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,3,4,5,7,10,2,3
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,3,2,2,2,2,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,4,5,7,10,2,2,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,3,2,2,3,4,5,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,3,4,3,4,2
NA,NA,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,3,4,2,3,2,2,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,3,2,2,2,3,4,5,3
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3
NA,1,1,1,1,1,1,1,1,3,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3
NA,NA,NA,1,1,1,1,1,1,1,1,1,3
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,7,3,4,3,4
NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,7
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,1,1,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
